3-Oct-2023 Prizmatix LED-UHP-TFF Normalized Spectral Data 
https://www.prizmatix.com/FC/Fiber-Coupled-LED-Broadband.aspx?NETID=231

[nm],[a.u.]
200,0
200.5,0
201,0
201.5,0
202,0
202.5,0
203,0
203.5,0
204,0
204.5,0
205,0
205.5,0
206,0
206.5,0
207,0
207.5,0
208,0
208.5,0
209,0
209.5,0
210,0
210.5,0
211,0
211.5,0
212,0
212.5,0
213,0
213.5,0
214,0
214.5,0
215,0
215.5,0
216,0
216.5,0
217,0
217.5,0
218,0
218.5,0
219,0
219.5,0
220,0
220.5,0
221,0
221.5,0
222,0
222.5,0
223,0
223.5,0
224,0
224.5,0
225,0
225.5,0
226,0
226.5,0
227,0
227.5,0
228,0
228.5,0
229,0
229.5,0
230,0
230.5,0
231,0
231.5,0
232,0
232.5,0
233,0
233.5,0
234,0
234.5,0
235,0
235.5,0
236,0
236.5,0
237,0
237.5,0
238,0
238.5,0
239,0
239.5,0
240,0
240.5,0
241,0
241.5,0
242,0
242.5,0
243,0
243.5,0
244,0
244.5,0
245,0
245.5,0
246,0
246.5,0
247,0
247.5,0
248,0
248.5,0
249,0
249.5,0
250,0
250.5,0
251,0
251.5,0
252,0
252.5,0
253,0
253.5,0
254,0
254.5,0
255,0
255.5,0
256,0
256.5,0
257,0
257.5,0
258,0
258.5,0
259,0
259.5,0
260,0
260.5,0
261,0
261.5,0
262,0
262.5,0
263,0
263.5,0
264,0
264.5,0
265,0
265.5,0
266,0
266.5,0
267,0
267.5,0
268,0
268.5,0
269,0
269.5,0
270,0
270.5,0
271,0
271.5,0
272,0
272.5,0
273,0
273.5,0
274,0
274.5,0
275,0
275.5,0
276,0
276.5,0
277,0
277.5,0
278,0
278.5,0
279,0
279.5,0
280,0
280.5,0
281,0
281.5,0
282,0
282.5,0
283,0
283.5,0
284,0
284.5,0
285,0
285.5,0
286,0
286.5,0
287,0
287.5,0
288,0
288.5,0
289,0
289.5,0
290,0
290.5,0
291,0
291.5,0
292,0
292.5,0
293,0
293.5,0
294,0
294.5,0
295,0
295.5,0
296,0
296.5,0
297,0
297.5,0
298,0
298.5,0
299,0
299.5,0
300,0
300.5,0
301,0
301.5,0
302,0
302.5,0
303,0
303.5,0
304,0
304.5,0
305,0
305.5,0
306,0
306.5,0
307,0
307.5,0
308,0
308.5,0
309,0
309.5,0
310,0
310.5,0
311,0
311.5,0
312,0
312.5,0
313,0
313.5,0
314,0
314.5,0
315,0
315.5,0
316,0
316.5,0
317,0
317.5,0
318,0
318.5,0
319,0
319.5,0
320,0
320.5,0
321,0
321.5,0
322,0
322.5,0
323,0
323.5,0
324,0
324.5,0
325,0
325.5,0
326,0
326.5,0
327,0
327.5,0
328,0
328.5,0
329,0
329.5,0
330,0
330.5,0
331,0
331.5,0
332,0
332.5,0
333,0
333.5,0
334,0
334.5,0
335,0
335.5,0
336,0
336.5,0
337,0
337.5,0
338,0
338.5,0
339,0
339.5,0
340,0
340.5,0
341,0
341.5,0
342,0
342.5,0
343,0
343.5,0
344,0
344.5,0
345,0
345.5,0
346,0
346.5,0
347,0
347.5,0
348,0
348.5,0
349,0
349.5,0
350,0.004001661885704985
350.5,0.004
351,0.004007120065148768
351.5,0.004126483973215701
352,0.0023503742023046454
352.5,0.0025545074617877987
353,0.0025979187858588323
353.5,0.0022323198665117165
354,0.0028489906735076776
354.5,0.0010089028691208837
355,0.002575683791640506
355.5,0.003014667000855039
356,0.003684956160706887
356.5,0.00349912159406045
357,0.001785648879614383
357.5,0.0020070773954127693
358,0.002774935020972112
358.5,0.003885604272559809
359,0.0035591534086565307
359.5,0.0029514010571235986
360,0.002764862826937093
360.5,0.002013525388471033
361,0.0030402173214161966
361.5,0.001400437423769572
362,0.001545835361142968
362.5,0.001604289200555139
363,0.0011369969054944385
363.5,0.0020659127781623263
364,0.001968848900863745
364.5,0.002922714745160644
365,0.0022920430913937868
365.5,0.002477279683891289
366,0.002748946367391072
366.5,0.0020769025072950977
367,0.002999701362646143
367.5,0.002146381763954539
368,0.00194636384539386
368.5,0.002
369,0.002
369.5,0.002
370,0.002003751958465421
370.5,0.0020615388115383334
371,0.0011120437118290684
371.5,0.0016460562484944341
372,0.0015868742850985319
372.5,0.0011484009068920714
373,0.002082138337682976
373.5,0.002000673087549237
374,0.0018962380374126216
374.5,0.0025439607078888596
375,0.0037117012678589013
375.5,0.0038573044299303467
376,0.002723472271594922
376.5,0.001975936465077173
377,0.0019882184205198116
377.5,0.0018773095213601646
378,0.0025663816472481
378.5,0.0031209238270226603
379,0.003
379.5,0.003
380,0.003
380.5,0.003
381,0.003
381.5,0.0029018784973814456
382,0.003354341165142759
382.5,0.003935260064558198
383,0.0030000085216432253
383.5,0.004027906732569275
384,0.0025345636256700788
384.5,0.0023352674237534505
385,0.0030495506075201052
385.5,0.0032042185274974134
386,0.004046355814873394
386.5,0.004006607180847095
387,0.004
387.5,0.004
388,0.004091711867711019
388.5,0.0037286883038863345
389,0.0029176943735072986
389.5,0.00299940023795559
390,0.0028970093838823017
390.5,0.0035483291423469014
391,0.004504428840091678
391.5,0.005397933109421093
392,0.006262456604912385
392.5,0.007069248527381874
393,0.007908501410651936
393.5,0.0078018529495693595
394,0.008925939987891963
394.5,0.010981124442456521
395,0.01240544857641064
395.5,0.01325178626849859
396,0.014857469072469516
396.5,0.01646915625900189
397,0.01807359925584069
397.5,0.020270464547010075
398,0.023357974785865522
398.5,0.027129202210435154
399,0.03122103108550286
399.5,0.03507092547940531
400,0.03928272945191811
400.5,0.043472248867418725
401,0.048743714535768166
401.5,0.05546835976513293
402,0.062083006265800364
402.5,0.0672181337760143
403,0.07550889332272448
403.5,0.08695778390431941
404,0.10001525067919513
404.5,0.11427289210535345
405,0.1288106034836282
405.5,0.14155442031306148
406,0.15688649383567227
406.5,0.17472035218586293
407,0.19671635959716155
407.5,0.2201629016761533
408,0.2410598419626104
408.5,0.2610851697366766
409,0.2870734706912258
409.5,0.30966731226821415
410,0.3435723018325777
410.5,0.37535631610664366
411,0.40506383118053446
411.5,0.4385742640496238
412,0.4650471959857504
412.5,0.4915605070314761
413,0.5189165573853788
413.5,0.5470966759942402
414,0.5775972310826779
414.5,0.6023954308450521
415,0.6143114702141742
415.5,0.6250239545578818
416,0.6323049957588457
416.5,0.6379296505380645
417,0.6398814157087305
417.5,0.6356864013744302
418,0.6285569475839754
418.5,0.6235369787901713
419,0.6110204492267142
419.5,0.5976024694795907
420,0.5864241438141519
420.5,0.5778583022510264
421,0.5700876175216891
421.5,0.5608926406975968
422,0.5487553349938341
422.5,0.5435175991645377
423,0.5424108243494603
423.5,0.5438874940870376
424,0.5453210130311378
424.5,0.5466379744233089
425,0.5503518525525487
425.5,0.5559488075330924
426,0.5609259905535537
426.5,0.563019134479364
427,0.5625845083719136
427.5,0.5641538307801853
428,0.5703738001566028
428.5,0.577575262412255
429,0.5857300599053458
429.5,0.5930533953510173
430,0.6000781916887268
430.5,0.607544006652259
431,0.6134719497610494
431.5,0.616522256005256
432,0.6220073146041758
432.5,0.6270031313330273
433,0.6375360392783666
433.5,0.6502109621802539
434,0.661612259365496
434.5,0.6728004697280554
435,0.6839083978617967
435.5,0.6978287514069198
436,0.7146306429860215
436.5,0.7326686929831346
437,0.7502295372525524
437.5,0.7668436472171283
438,0.7824660100893119
438.5,0.7960868992108951
439,0.8133176917653153
439.5,0.8298359564037489
440,0.8459953271030562
440.5,0.861384010789334
441,0.8749340742014267
441.5,0.8877587353401861
442,0.9003789216516093
442.5,0.9121355820443156
443,0.921879433589892
443.5,0.9302643606007142
444,0.9380118363048646
444.5,0.9440466851068381
445,0.9468240246502646
445.5,0.9501260162373306
446,0.9525376398337805
446.5,0.9571056753476905
447,0.9616852977891217
447.5,0.963653642984927
448,0.965279772700532
448.5,0.9677938011728838
449,0.9679894434864014
449.5,0.9691213026677524
450,0.9672550794140672
450.5,0.9646718897065132
451,0.9646014214365127
451.5,0.9619236303445158
452,0.959667520200293
452.5,0.9566779205564966
453,0.9520420980736705
453.5,0.9458435118873951
454,0.940109387470617
454.5,0.9361463403785308
455,0.9322773475433169
455.5,0.9283547744319361
456,0.9237507250862839
456.5,0.9164945169843257
457,0.909030483247726
457.5,0.9025820353504136
458,0.8952357148717061
458.5,0.8908704687893673
459,0.8843546293344736
459.5,0.8781176067351044
460,0.8708031635043516
460.5,0.8628767865020326
461,0.856076561404159
461.5,0.8497636328514258
462,0.8451024620169268
462.5,0.8401651049823015
463,0.8343706546305633
463.5,0.82743567457617
464,0.8204690120404049
464.5,0.8148161304667567
465,0.8102354422336037
465.5,0.8053346361032327
466,0.8008229341286188
466.5,0.7965181796349627
467,0.7913786397767795
467.5,0.7868589476959754
468,0.784410608747045
468.5,0.7796347243029799
469,0.7749198876115446
469.5,0.7677742008565118
470,0.762978912584115
470.5,0.76076661289852
471,0.7584027188846767
471.5,0.7568282285605972
472,0.7545546021678071
472.5,0.7513187146103443
473,0.7476182798213383
473.5,0.7441978599579266
474,0.7427322812253333
474.5,0.742753943285035
475,0.7409826968291896
475.5,0.7394093664830587
476,0.7377038739059405
476.5,0.7359209737502421
477,0.7339454655426768
477.5,0.7326688697214512
478,0.7331885523548607
478.5,0.7348976043438488
479,0.7369205074500398
479.5,0.7357544703977428
480,0.7347983122858718
480.5,0.7347727323258462
481,0.735543174248079
481.5,0.7383787349693403
482,0.740693833498407
482.5,0.7432700992185186
483,0.7451334230503303
483.5,0.7474842912562456
484,0.7497827865254684
484.5,0.7518451714912977
485,0.755327212869709
485.5,0.7584123495945928
486,0.7617567396870456
486.5,0.7654136571294512
487,0.7685409497713652
487.5,0.7709417400518839
488,0.7741874988737363
488.5,0.779134028191807
489,0.7804316288944698
489.5,0.7843009392556286
490,0.7880564924325818
490.5,0.7925018181350255
491,0.7980899533726296
491.5,0.8032355885557659
492,0.8079421404835473
492.5,0.8110774439150983
493,0.8154065832969016
493.5,0.8184437135263444
494,0.8222697085373523
494.5,0.8279568620227614
495,0.8330192745292369
495.5,0.8376965045059898
496,0.8427411303471157
496.5,0.8462264469456195
497,0.8514482710622905
497.5,0.8577389242978583
498,0.8626057192276213
498.5,0.8667779031602448
499,0.8714746096875566
499.5,0.8762817026283327
500,0.8824231491519835
500.5,0.8880629628688057
501,0.891048884185786
501.5,0.8929140146382594
502,0.8964318048099319
502.5,0.8993131193415106
503,0.9057897368244121
503.5,0.9116851877489893
504,0.9169569683795858
504.5,0.922494302329157
505,0.9272562826888177
505.5,0.9303902928524712
506,0.9344845315873629
506.5,0.9361461515561335
507,0.9395325755953049
507.5,0.9451800596346883
508,0.9490834927313261
508.5,0.9509989639869519
509,0.9551997420419772
509.5,0.95647804045141
510,0.9603921830040456
510.5,0.9642248932185989
511,0.9683411712531229
511.5,0.9728281469248904
512,0.9753755381493442
512.5,0.9750179814574261
513,0.9756457972232918
513.5,0.9776692476179676
514,0.9818615428232237
514.5,0.9858122160876276
515,0.9876104084904734
515.5,0.9882354009772214
516,0.989008505548526
516.5,0.9889270671182757
517,0.9896094494053099
517.5,0.9907914224645413
518,0.9905995755909285
518.5,0.9900498487938878
519,0.9913373084220393
519.5,0.993
520,0.9938088432858395
520.5,0.9947753149217939
521,0.9950906270369879
521.5,0.9949111696742061
522,0.9952195306106284
522.5,0.996184261412529
523,0.9969825874316476
523.5,0.9986478011789534
524,0.9999480465555067
524.5,0.9996447779635366
525,0.9984667719846609
525.5,0.9978761989873487
526,0.9980129213540228
526.5,0.9980100177060083
527,0.9972380331823535
527.5,0.9962328304180631
528,0.9957887809208392
528.5,0.9964083329785349
529,0.9972610533005264
529.5,0.9966627543603905
530,0.9940527213298733
530.5,0.9930908742804625
531,0.9929456279007056
531.5,0.9931176753692647
532,0.992678426305117
532.5,0.9917105591877753
533,0.9907231103358956
533.5,0.9890649819967768
534,0.9865905810867117
534.5,0.9846659322896066
535,0.9828091107638383
535.5,0.9812629407620064
536,0.9811346125267385
536.5,0.9821085042263159
537,0.9820230548433869
537.5,0.9804770570559754
538,0.9785916701486924
538.5,0.9772502854992275
539,0.9768784206287806
539.5,0.9771411168233799
540,0.9766479563662912
540.5,0.9740293892916217
541,0.9731817565886148
541.5,0.9722289700394328
542,0.9721463233045459
542.5,0.9712538630702969
543,0.9695305950886536
543.5,0.96879885729137
544,0.9680029433812759
544.5,0.9672973726578091
545,0.9656232337280847
545.5,0.9643634669926411
546,0.9637259557679507
546.5,0.9620928617901914
547,0.9596203759285956
547.5,0.958982332612458
548,0.9571462694962923
548.5,0.9578896030168096
549,0.9570326806167102
549.5,0.9556996668558823
550,0.9538830635832435
550.5,0.9502159173465681
551,0.9479277048638884
551.5,0.9462714798056475
552,0.9451632280258261
552.5,0.9450391434276549
553,0.9447428032577528
553.5,0.9434435748323234
554,0.941363534845955
554.5,0.938873599899676
555,0.9373951901813962
555.5,0.934753359488055
556,0.9335176414622128
556.5,0.931686030048766
557,0.9290453975434717
557.5,0.9276136004605515
558,0.9269636691815428
558.5,0.9269932626358245
559,0.9273539820270131
559.5,0.92534769551375
560,0.9228028073892355
560.5,0.9214766248424968
561,0.9206955780863234
561.5,0.9199474404731837
562,0.9199410724002438
562.5,0.9209125728021803
563,0.9205422235173668
563.5,0.9197134802168457
564,0.9178017150013486
564.5,0.915718865216678
565,0.9158518640114178
565.5,0.9141352803008809
566,0.9133440122664985
566.5,0.9115801935542387
567,0.9107977283712436
567.5,0.911079562918635
568,0.9108439563926578
568.5,0.9097445211637794
569,0.9080978054800106
569.5,0.9063710509691228
570,0.9054375075738397
570.5,0.903674995903491
571,0.9032484771540508
571.5,0.9038163120295041
572,0.9030628751263834
572.5,0.9040029140532954
573,0.9022763678588774
573.5,0.902152058956716
574,0.9008306577843636
574.5,0.8998560343338234
575,0.8997098617836196
575.5,0.8989207177411874
576,0.898978481142552
576.5,0.8980260155801589
577,0.8987187471632577
577.5,0.8990802990152541
578,0.899
578.5,0.899
579,0.8989481235887858
579.5,0.8990975556318411
580,0.9008520607181822
580.5,0.9009503214103285
581,0.9015213715779351
581.5,0.9026092288049234
582,0.9031269384578053
582.5,0.903
583,0.9029878413865917
583.5,0.9029221982758621
584,0.904436737925591
584.5,0.9064928022833217
585,0.9070839066836591
585.5,0.9073914797881221
586,0.9081229547633256
586.5,0.9079883644548632
587,0.9079884351481236
587.5,0.9088606412331167
588,0.9087991652820374
588.5,0.9096725812045836
589,0.9129668739958693
589.5,0.9153990100764943
590,0.9152989547902597
590.5,0.91703825482783
591,0.9167903030831122
591.5,0.9194099169542709
592,0.9194915626131007
592.5,0.9194638212308828
593,0.919668347116719
593.5,0.9192668732792127
594,0.9210952680226037
594.5,0.9209546350953632
595,0.9214653601667377
595.5,0.9236763595019789
596,0.9267580764649798
596.5,0.9287521112756869
597,0.9290422393242416
597.5,0.9291695793850689
