wavelength_nm,reflectance_fdtd
400.01006296162393,0.16233782
401.7492371484136,0.11996316
403.50360062941104,0.11821231
405.27335326375055,0.113350086
407.05869843231335,0.107211575
408.85984311564215,0.09870671
410.6769979739339,0.08947715
412.5103774291747,0.0803501
414.3601997494849,0.070460126
416.2266871357439,0.060198836
418.1100658105662,0.050379045
420.01056610970517,0.040761318
421.92842257595953,0.03161449
423.86387405566575,0.02387742
425.81716379785775,0.017889267
427.7885395561811,0.014038738
429.7782536936518,0.013134331
431.786563290351,0.015619837
433.8137302541556,0.021880472
435.8600214345996,0.032105293
437.925708739977,0.04519958
440.0110692577863,0.05924465
442.11638537863706,0.07176873
444.2419449237266,0.0796247
446.3880412760151,0.08081705
448.55497351521905,0.075160764
450.7430465567567,0.06348482
452.95257129478006,0.047997966
455.1838647494341,0.032561682
457.4372502184907,0.023788117
459.7130574335081,0.029847817
462.01162272067563,0.04765764
464.33328916650817,0.06095879
466.67840678856123,0.06331265
469.04733271134586,0.059342656
471.4404313476282,0.05351139
473.8580745853084,0.047878355
476.300641980078,0.04353325
478.76852095406804,0.04094193
481.2621070007038,0.040179662
483.78180389599544,0.04141265
486.3280239165007,0.04465387
488.9011880642071,0.049719978
491.50172629859117,0.056562845
494.1300777761237,0.06504278
496.78669109750075,0.07482344
499.4720245628926,0.08570724
502.1865464355171,0.09748645
504.9307352138531,0.10975796
507.70507991283046,0.122234106
510.5100803543377,0.13476516
513.3462474674175,0.14702286
516.2141035985202,0.1587165
519.1141828322199,0.16984934
522.0470313227974,0.18026498
525.0132076371315,0.18974441
528.0132831093435,0.19841596
531.0478422076732,0.20631453
534.1174829140758,0.2133221
537.2228171170647,0.2195921
540.364471018334,0.22530946
543.5430855537361,0.23046951
546.7593168292019,0.23522611
550.0138365722329,0.23986949
553.3073325996115,0.24441056
556.6405093020188,0.24791148
560.0140881462735,0.25031403
563.4288081959459,0.25224885
566.8854266511357,0.25404626
570.3847194082416,0.25584996
573.9274816405909,0.25792852
577.5145284008446,0.260415
581.1466952461329,0.2631983
584.8248388869313,0.26641184
588.5498378607333,0.2701377
592.3225932316354,0.2740979
596.1440293170009,0.27824032
600.015094442436,0.282698
603.9367617263733,0.28716794
607.9100298956258,0.29138553
611.9359241333452,0.29555234
616.0154969609008,0.2995498
620.1498291552693,0.30295032
624.3400307036158,0.30584294
628.5872417968376,0.3084297
632.8926338639393,0.31036264
637.2574106492078,0.31142163
641.6828093342717,0.31192487
646.1701017072387,0.3119036
650.7205953812334,0.31099087
655.3356350647882,0.30922905
660.0166038866795,0.30692196
664.7649247779506,0.30395338
669.5820619140227,0.30010065
674.4695222199645,0.29550081
679.42885694217,0.29028028
684.4616632898899,0.28432006
689.5695861502621,0.27755338
694.7543198807152,0.27000755
700.0176101828418,0.2616711
