wavelength_nm,reflectance_fdtd
700.0,0.0
694.7368421052631,0.0
689.5522388059702,0.0
684.4444444444445,0.0
679.4117647058824,0.0
674.4525547445255,0.0
669.5652173913044,0.0
664.7482014388488,0.0
659.9999999999999,0.0
655.3191489361702,0.0
650.7042253521126,0.0
646.1538461538462,0.0
641.6666666666667,0.0
637.2413793103449,0.0
632.8767123287672,0.0
628.5714285714286,0.0
624.3243243243243,0.0
620.1342281879195,0.0
616.0,0.0
611.9205298013245,0.0
607.8947368421053,0.0
603.9215686274509,0.0
600.0000000000001,0.0
596.1290322580646,0.0
592.3076923076923,0.0
588.5350318471337,0.0
584.8101265822785,0.0
581.132075471698,0.0
577.5,0.0
573.9130434782609,0.0
570.3703703703704,0.0
566.8711656441718,0.0
563.4146341463415,0.0
560.0,0.0
556.6265060240963,0.0
553.2934131736527,0.0
549.9999999999999,0.0
546.7455621301775,0.0
543.5294117647059,0.0
540.3508771929825,0.0
537.2093023255813,0.0
534.1040462427745,0.0
531.0344827586207,0.0
527.9999999999999,0.0
525.0,0.0
522.0338983050847,0.0
519.1011235955057,0.0
516.2011173184356,0.0
513.3333333333334,0.0
510.49723756906076,0.0
507.6923076923078,0.0
504.9180327868852,0.0
502.17391304347836,0.0
499.45945945945954,0.0
496.77419354838713,0.0
494.11764705882354,0.0
491.4893617021277,0.0
488.8888888888889,0.0
486.3157894736843,0.0
483.7696335078534,0.0
481.25,0.0
478.7564766839378,0.0
476.2886597938145,0.0
473.84615384615387,0.0
471.42857142857144,0.0
469.03553299492387,0.0
466.6666666666667,0.0
464.321608040201,0.0
462.0,0.0
459.7014925373134,0.0
457.4257425742574,0.0
455.17241379310343,0.0
452.94117647058823,0.0
450.73170731707313,0.0
448.54368932038835,0.0
446.3768115942029,0.0
444.2307692307692,0.0
442.1052631578948,0.0
439.99999999999994,0.0
437.914691943128,0.0
435.84905660377353,0.0
433.8028169014085,0.0
431.7757009345794,0.0
429.76744186046517,0.0
427.77777777777777,0.0
425.80645161290323,0.0
423.85321100917434,0.0
421.91780821917814,0.0
420.00000000000006,0.0
418.0995475113122,0.0
416.21621621621625,0.0
414.34977578475343,0.0
412.50000000000006,0.0
410.6666666666667,0.0
408.8495575221239,0.0
407.0484581497797,0.0
405.2631578947368,0.0
403.4934497816594,0.0
401.7391304347826,0.0
400.0,0.0
