w,h,p,R_wl_0,R_wl_1,R_wl_2,R_wl_3,R_wl_4,R_wl_5,R_wl_6,R_wl_7,R_wl_8,R_wl_9,R_wl_10,R_wl_11,R_wl_12,R_wl_13,R_wl_14,R_wl_15,R_wl_16,R_wl_17,R_wl_18,R_wl_19,R_wl_20,R_wl_21,R_wl_22,R_wl_23,R_wl_24,R_wl_25,R_wl_26,R_wl_27,R_wl_28,R_wl_29,R_wl_30,R_wl_31,R_wl_32,R_wl_33,R_wl_34,R_wl_35,R_wl_36,R_wl_37,R_wl_38,R_wl_39,R_wl_40,R_wl_41,R_wl_42,R_wl_43,R_wl_44,R_wl_45,R_wl_46,R_wl_47,R_wl_48,R_wl_49,R_wl_50,R_wl_51,R_wl_52,R_wl_53,R_wl_54,R_wl_55,R_wl_56,R_wl_57,R_wl_58,R_wl_59,R_wl_60,R_wl_61,R_wl_62,R_wl_63,R_wl_64,R_wl_65,R_wl_66,R_wl_67,R_wl_68,R_wl_69,R_wl_70,R_wl_71,R_wl_72,R_wl_73,R_wl_74,R_wl_75,R_wl_76,R_wl_77,R_wl_78,R_wl_79,R_wl_80,R_wl_81,R_wl_82,R_wl_83,R_wl_84,R_wl_85,R_wl_86,R_wl_87,R_wl_88,R_wl_89,R_wl_90,R_wl_91,R_wl_92,R_wl_93,R_wl_94,R_wl_95,R_wl_96,R_wl_97,R_wl_98,R_wl_99
0.2145115532747022,0.1303863793343226,0.4495481260334852,0.43254073710513424,0.42778773898069844,0.4223873392328113,0.4164467006577832,0.4100757681719602,0.4033731293997627,0.39636600053176785,0.38901534783031955,0.3812501054909927,0.3729609948513196,0.36399244972784994,0.3541392725156277,0.343069589437202,0.3301885107444715,0.3143121096706686,0.29255349083709975,0.25276268557360115,0.20959275048745954,0.21045503465405602,0.2085201966487532,0.2053765799491025,0.20153963077700388,0.19723770368835555,0.19257419324113983,0.18758220946135187,0.18224729792777505,0.17651779783019259,0.1703122986779293,0.16351050535779899,0.15591420324898758,0.14727679276893743,0.13762260055198128,0.12721504897747238,0.116321652328934,0.10538178981100367,0.0951645320921693,0.0867842033518866,0.08148851919145525,0.08018634741286947,0.08293486182929374,0.08879442096909207,0.09625439829370046,0.10387658902533196,0.11068451534707131,0.1162093670958411,0.1203495865204709,0.12320569672510139,0.12495634460281223,0.1257821042681408,0.12584756080506618,0.12529462735739388,0.12424143396554715,0.12278461295163964,0.1210027055300086,0.11895965633911315,0.11671101957263945,0.11431416824678824,0.11182012096753936,0.10927336420333134,0.10671503909591461,0.10418705394079952,0.10173874374348699,0.09943970719982968,0.09739819560433824,0.09562806252987954,0.09355305318817647,0.0910061081095408,0.08824928521043347,0.08542157535434283,0.0825862299996823,0.07977576252053466,0.07700875746894038,0.07429669930319155,0.07164716695920076,0.06906719501989263,0.0665642252379936,0.06414441395174933,0.061812874745956425,0.059573926912353976,0.05743126223115855,0.05538805859458797,0.05344705802450014,0.051610620346085774,0.04988076001756179,0.04825912870225042,0.046746609904464116,0.04534355369470872,0.04405009186117962,0.042866142393800426,0.041791408174183656,0.04082537552415935,0.03996731319278949,0.039216272205926356,0.038571086881717224,0.03803037721984103,0.03759255279541251,0.03725581703994805,0.03701815743308781,0.03687734222257704,0.03683093355878675
0.152751996293652,0.3555330987687461,0.4211113618625517,0.32582028457881024,0.31123028842087286,0.2959215140710235,0.2822727178639239,0.269079321425242,0.2523154733739991,0.22819763530282142,0.14718166973022895,0.10987660351888738,0.11253999874902283,0.13049056245085192,0.13439721465760576,0.11705852094045249,0.09449495475472895,0.09097407758469686,0.11536625553243177,0.15422243147463324,0.19148631616168726,0.22037721672663146,0.24060103731764174,0.2539059457714005,0.26201667497144693,0.2661542374370655,0.26717177377372364,0.26566818218367866,0.2619845324789415,0.2562583604260415,0.2487310840056187,0.23974513825580923,0.22962619439762338,0.218669128670015,0.2071366867652114,0.19526172599200642,0.18322164077543784,0.17113641767494203,0.15912159772951998,0.1472950812184245,0.13577816725594458,0.12469488942499682,0.11417061550738954,0.10434061794995593,0.09534380808503383,0.0873081481838265,0.08034909575470607,0.07456922962779092,0.07005818015578825,0.06689237687847953,0.06512861969832723,0.06479053261503423,0.06587788470268832,0.06836561837296741,0.07220147545785714,0.07730818813705345,0.0835964207081362,0.09099974613473082,0.09943853778350809,0.10831498062791321,0.11718608491561493,0.1260083488038243,0.13469640519601156,0.14314426881332862,0.15125718546193964,0.1589637889388496,0.166219679938416,0.17299890486241007,0.17928150761769127,0.18506996865838474,0.19039004977915092,0.1952878589202538,0.19982627774093883,0.20408079456655567,0.20813481392895963,0.21207457476491523,0.2159839699464755,0.2199417054950952,0.22401577232922865,0.2282565874667033,0.2326953218148721,0.23734393676327947,0.2421965359369833,0.2472317335851818,0.25241568151158655,0.25770539420803273,0.2630520558426882,0.268404091113213,0.2737100045680769,0.2789201520100825,0.2839878748806137,0.2888703912455311,0.29352932887301253,0.29793096886487536,0.30204626946815194,0.305850732440754,0.3093241643026746,0.3124503738773125,0.3152168369613797,0.3176142506382322,0.31963527596677915,0.3212747109164432,0.3225298429164328
0.1566771434683022,0.1448052381222253,0.2749302977495692,0.38114243818435695,0.37165521238071964,0.35975062904282445,0.3454878244643459,0.32905312552750415,0.3108172292913961,0.2912771409985292,0.27110622394279643,0.251165143029664,0.23229056547082602,0.21502246277261722,0.1995415006999343,0.18623198841063227,0.1775892600636752,0.17962825793198772,0.1959922282495577,0.22023140145806142,0.24265568385296646,0.25906131105209335,0.2696655646491559,0.27589674346807186,0.2790037850710471,0.2798346867971232,0.27896431878250844,0.2767844774048573,0.2735672838623727,0.26951070317547127,0.26480936854079545,0.25964508289930066,0.25415952212310733,0.24846342069172375,0.24264377895199407,0.23676888373792315,0.23088144861152088,0.224999838122516,0.21913750703994067,0.21330520632736646,0.20751154539297395,0.20176343036528993,0.19606665074780888,0.19043063952120376,0.18486767041432262,0.17938859521066616,0.1740033269116456,0.1687216259919941,0.16355409257610995,0.1585135229570241,0.15361526527103822,0.14887640818749528,0.14432226476518042,0.13998727548721643,0.1358805191806238,0.1316573611124887,0.12599415200523495,0.11899520140343521,0.11163222924332612,0.10426886243479593,0.09703320335749817,0.08998266284815523,0.08314756926632591,0.07654514057309629,0.07018523829478047,0.06407334073864274,0.058212383283186946,0.05260277166184577,0.047242236443493686,0.04212988019554613,0.0372668459517805,0.03265640415973619,0.028304024268920237,0.024217419126429985,0.02040654765262998,0.016883558216502892,0.013662683614328345,0.01076090585949693,0.008197399281051692,0.005991708032355318,0.004163035576782076,0.0027294808931585205,0.0017071734454423208,0.0011093470690821034,0.000945404197724769,0.0012200306679317164,0.0019324260314068364,0.003075720551974675,0.004636780328217536,0.00659634428826305,0.00892918666508761,0.011604499930658228,0.014586520407682076,0.017835362784460514,0.021308015216465467,0.02495943660051994,0.02874369306312792,0.03261507191422947,0.03652911772077207,0.040443475626897936,0.04431795939967841,0.04811537843252057,0.051802434185231436
0.2262209957601113,0.3356607851089946,0.5986947443970521,0.3827350945537985,0.38103043685840027,0.37983206995475705,0.3790395544319711,0.3778923553953608,0.3757517161250161,0.3724270999829101,0.36805022517513497,0.3628686692677608,0.35711916490916595,0.35110711962049934,0.34532389407367226,0.34030109456760466,0.336277523626745,0.3329224361403186,0.3293992706554013,0.3247746965748669,0.3184749903929105,0.310558834108579,0.3017730125767392,0.2933968129445548,0.28683451591250286,0.28309035837385654,0.28234747259782805,0.2839114105183699,0.286552506410086,0.2889386174634754,0.2900543888579283,0.28931934117982694,0.2864141952687038,0.2811148507240021,0.2731577647700329,0.2622569598631946,0.24830273638201647,0.2317836134881403,0.21416609910305376,0.19754449065922247,0.18384648077542654,0.17419122368403905,0.16873524721395122,0.16691570616091728,0.16778426719669381,0.17026546139681648,0.1732928491265046,0.17583449965727654,0.17692554231684351,0.17595475233024835,0.17342424203497012,0.17144465806158296,0.17225792623611563,0.17591567617336618,0.1808105303565823,0.18551155796676644,0.1893293332344123,0.19206036725224848,0.19371723150577042,0.19440668913604697,0.1942098027592564,0.19314949581130217,0.19117778873674557,0.18815082006112713,0.18377406798061025,0.17747699484293403,0.1680889505840455,0.15270319045226033,0.11992244643896575,0.01626537743257051,0.016582690968097856,0.024198337553575266,0.03559003476858575,0.04937563218987844,0.06464318183017177,0.08070053291994353,0.09700899789585846,0.11315684073287059,0.12884307611199172,0.1438610318231068,0.15808068340924938,0.171431824083424,0.18388900946612619,0.19545879845864025,0.2061694295683667,0.2160628011588348,0.22518847252743335,0.23359936167394377,0.2413488512329983,0.24848847222945172,0.2550665560335901,0.2611276456693979,0.2667122738587837,0.2718569828565678,0.27659449695062743,0.28095398403472677,0.2849613619634806,0.28863961970016755,0.2920091336708658,0.2950879213272407,0.29789150709614565,0.30043343723606974,0.3027258011727769
0.1530652019969499,0.2030479948095985,0.3935159234797473,0.3419049601521948,0.34180069483397096,0.33513936316069975,0.32030562303216586,0.29691306785584004,0.2654943516789499,0.22738862700597484,0.18572700345703316,0.14684345583131161,0.11993177201246225,0.112189896338266,0.11957717088660176,0.1265017238307626,0.12674441924271085,0.1306386395341126,0.14444404415316753,0.16517749441156845,0.18819363966889183,0.21071882835207248,0.23167041565874696,0.2506072446239441,0.26725629737153866,0.28155240799117953,0.2936163170047564,0.30365296715691237,0.31188044172421225,0.31849860589983514,0.32372174906971724,0.32776534174025135,0.33081315902127617,0.33302053102535534,0.3345197693648053,0.33542497835363777,0.3358189719080628,0.33574774549828096,0.3352464552243846,0.33434338451855494,0.3330614430500635,0.33141939500044537,0.3294333774323195,0.32712669314795867,0.32453048503751925,0.3216766216684198,0.3185994574235094,0.31534119064335836,0.31196807170172,0.30861340395623843,0.305440138354935,0.3023556690951092,0.2992100302176967,0.29595908609420296,0.2925884768962203,0.2890855431647367,0.28543490438490643,0.2816185156860734,0.27762114088936546,0.2734447556183054,0.2690966981514338,0.2645860831734242,0.2599240887811898,0.2551239950541005,0.25020101642986037,0.24517198080860841,0.2400548949430003,0.23486343511203886,0.22959956527002087,0.22426430292003988,0.21885960676829463,0.2133883924912421,0.20785455538451056,0.20226299682184057,0.19661965084707744,0.19093150669000808,0.18520675021037514,0.17945864656698374,0.17370574058205535,0.16796676923752274,0.16226010845205757,0.1566035232767801,0.15101393413726028,0.1455072040220417,0.1400979510559604,0.13479939028726126,0.12962320777098763,0.1245793267644014,0.11967444907321383,0.1149128262440898,0.11029734159628718,0.1058295741328562,0.10150986246397635,0.09733738347672748,0.09331024420073133,0.08942558545916517,0.08567969614864894,0.08206813737943032,0.07858587625964972,0.07522747428719179,0.07198763907187246,0.06886112973076877,0.06584264481242609
0.0707945697105864,0.3462930916948366,0.2071295435564484,0.31537757519830106,0.30673271915083566,0.29343718820559944,0.27531504030284276,0.25336767642531693,0.22945949456305773,0.20564345308353052,0.18348554133449385,0.16335641073574608,0.14429400050658012,0.12501416861446196,0.1052400270502066,0.08611252640138135,0.0696413458654385,0.057862330522158924,0.05227676536309809,0.053630301024928585,0.06182974134702974,0.07594440573571255,0.09432163375967557,0.11479681116452503,0.13478568634042273,0.15157074785131777,0.16293538755762432,0.167396870333767,0.1641156081889204,0.152759670344162,0.13393945978500132,0.10964458118918137,0.08345931746244833,0.060365623801867795,0.045720785584624994,0.04366252684206083,0.05578860354054204,0.08073418724624647,0.11434511715574534,0.1496850235006849,0.17861294026539298,0.19830103749841865,0.21053320077299237,0.21555314855293528,0.21253107147034037,0.20105937463074566,0.1814943131620163,0.15499303373241824,0.12356826547656803,0.09010638621001808,0.058197689244299335,0.03171889694630603,0.014155767480146197,0.007721867841147469,0.012757427998243044,0.027744764581113877,0.04990751854524328,0.076046410819467,0.10324592317496402,0.12931345208063366,0.1528683437251627,0.17320311476266564,0.19008955834676755,0.20360393222095194,0.21399591632131923,0.22160055205816645,0.22678348788021538,0.2298831520283019,0.2311558198764369,0.23082477161281698,0.22909079891661852,0.22613446780099528,0.2221187708930442,0.21719175913301322,0.21148894102448174,0.20513535048952852,0.19824772396799795,0.19095028556576826,0.18337641148507483,0.17565044040575364,0.1678864024142521,0.16018786773843713,0.15264784291110198,0.14534873508331594,0.13836240263922978,0.13175030543504504,0.12556376198263416,0.11984411307395008,0.11462131013102658,0.10991591186178806,0.10574128140978922,0.10210423634158175,0.09900568852307967,0.0964412885736447,0.09440206546650987,0.09287505219316264,0.0918438892007278,0.09128939841338941,0.09119012194099893,0.09152275448855615,0.09226195678496221,0.09338101490953439,0.09485262465182237
0.2158919439391161,0.2094077750582958,0.5727345442780091,0.388302861730085,0.38303586441826487,0.37781448394718636,0.3737873537109953,0.3717015217531242,0.3716377245741394,0.3730426090568565,0.3750399728654885,0.3767636503561488,0.3775251922324956,0.37684960980030546,0.3744680079894742,0.37025914910568714,0.36418938486603525,0.35627242594156583,0.3465457523873464,0.3350690453636922,0.3219292225346604,0.30725406908145914,0.29123267236998246,0.2741348575058568,0.25630097409210006,0.23820714782323377,0.22055554829749563,0.20426576138747815,0.19038915351503005,0.179936063251254,0.17361468048305206,0.1716172743671082,0.1736175150333908,0.1789025956864092,0.1865578592292214,0.1956281880157137,0.20521369124201308,0.21449068490461992,0.22277201694901924,0.22976505623832258,0.23597122030004267,0.24251142323012112,0.24999311170142413,0.2579861631607255,0.26573625523213934,0.2727552141749825,0.27885553109809347,0.28401369975067126,0.28826930705216813,0.29167533411452323,0.29427271591687765,0.2960734454704501,0.29706511968289706,0.29720657442120796,0.29641654128949163,0.2945522065922674,0.2913654244224241,0.28640226454556966,0.2787262893460044,0.2658105792048473,0.22205185477094852,0.2382454509947355,0.24231477443995814,0.24421224835966446,0.24502408959128022,0.24517001799565263,0.24486338347050068,0.24422746550367275,0.24333453938448535,0.2422315237910431,0.2409508286419886,0.23951566127578686,0.23794313249098523,0.23624618302905423,0.2344348378911976,0.2325170578929719,0.23049942269995974,0.22839015941574953,0.2261999057866002,0.22393884872182304,0.22161664959087193,0.219242520278314,0.21682527284734546,0.2143733504310555,0.21189484504801326,0.2093975066925713,0.2068887470814099,0.20437554403416547,0.20186345693302638,0.1993570655815635,0.19686067781232905,0.19437836694432017,0.19191400233563224,0.1894712856024232,0.18705379478123874,0.18466503964867992,0.18230853296758134,0.17998788502883706,0.1777069333078595,0.17546995438829152,0.17328218952829524,0.1711501211336307,0.16908196504415557
0.2251305025700616,0.4228912549215528,0.5806947026253068,0.336493060727963,0.3393561908241037,0.3416819953697005,0.3443667109401157,0.34746574295373267,0.3501457416566999,0.3513247029420978,0.35028542900491505,0.3470151501090473,0.3422933701044403,0.3376276666318863,0.33478440458726505,0.3347822537746924,0.3372231899033327,0.3406529769454793,0.34347980539695894,0.34459206693050864,0.3434669430739602,0.34001490197917666,0.33438802252292466,0.3268596863174364,0.3177703261889481,0.30769469129499083,0.29774388659495854,0.28961814720741136,0.2851138773863359,0.28501615894351634,0.28823736171348724,0.29230985005169685,0.29477693676671574,0.2941962907544404,0.29042507468800294,0.2844698697282097,0.27791855435396723,0.27205521905701147,0.26726077174282986,0.2631382653892621,0.2590979019759549,0.25478009470550256,0.25014779802748194,0.24541665756773057,0.24086022656998685,0.23649858318855285,0.23181864067038963,0.22580004155566427,0.21773925271401598,0.2086090078972843,0.2007418549419786,0.19519567220418074,0.19089916243327332,0.1866332252651312,0.18300106192712784,0.1831258630529397,0.19140787067743617,0.20915417152726662,0.23093649442499345,0.24870870710082008,0.25800078739934257,0.2578714243947792,0.24634536327330755,0.2210865515559077,0.21840574833399176,0.21298157765303055,0.2067534735803967,0.20013582708586625,0.19326870421045309,0.18621585483485634,0.17901403798989196,0.17168858872314574,0.16425960726021385,0.15674458852237608,0.14915957891680334,0.14151972721212056,0.13383980735184173,0.1261396982133686,0.11844503053925236,0.11078156629618735,0.10317607108611132,0.09565771627822216,0.08825954101347962,0.08101987227015173,0.07398357884699239,0.06720301966524399,0.06073854012717999,0.05465827014974103,0.049036336791648705,0.043952065618198324,0.03948850647569534,0.035729394558460685,0.03275547382670659,0.03064041236612274,0.029446612764323993,0.029221281907914634,0.0299931444623796,0.03177015121776312,0.03453844580890835,0.038262667265604275,0.04288708830324078,0.04833856499850815,0.054530700535047875
0.2219392897464657,0.4311904318945941,0.4698174618789822,0.35807688008991595,0.3565663390428975,0.3542106080331099,0.3513333846542317,0.34844185118029114,0.34610489704385805,0.34457060623164115,0.3436670789120644,0.3430046408684205,0.34216683550613,0.3408402600950847,0.3389464740264236,0.3367373835048406,0.3348215767820023,0.33401758406576204,0.33499288939058075,0.3378517453092845,0.34196761199298126,0.34618292248002663,0.3491624756208778,0.3496094258175438,0.34611591505354455,0.33634344047564213,0.3058627386794491,0.3047249394719452,0.2970918020476451,0.2872471636464368,0.2767132694315841,0.26655886834771003,0.25760863944915907,0.25020947256567655,0.24405102834324222,0.23827628132612402,0.2317916719100482,0.22356449528318345,0.21292038376780578,0.19953936201545056,0.183218823669946,0.16378751266475103,0.1409024078329299,0.11406761643299365,0.08332813057676676,0.05069813891032047,0.022138166999300123,0.008890090023602094,0.02380199982727536,0.06901098934401712,0.1274314411105314,0.17522860040828517,0.1998175923868425,0.20135551890053394,0.18295481379313008,0.14400348250127504,0.08628659618650979,0.0372993805867862,0.05141917956152996,0.11998286312309264,0.18367447496120612,0.22264131191176112,0.242686743103557,0.25142662714127306,0.25370604277320336,0.2522642547900772,0.248643415231779,0.2437175573331681,0.23797161955846283,0.2317071311483603,0.2251308932208367,0.21840884800894825,0.21172313782638671,0.20536112951545524,0.19932178632560774,0.19241360828668427,0.18456303080333716,0.17611115146073278,0.16726255733235174,0.15814629592147808,0.14885462896286109,0.13945934006198246,0.13001992727334336,0.12058883366735142,0.1112155448866929,0.10195019831252562,0.09284685690612848,0.08396620162774784,0.07537619904663447,0.0671545208411738,0.05939010994278179,0.05218220480418702,0.04563788539618087,0.0398681425058925,0.034982624255042546,0.031083411184468866,0.028258362563238548,0.026574720074467248,0.026073709018135667,0.026766770846519933,0.02863351115210872,0.03162242801881005,0.03565423113461357
0.1906738056443658,0.2076852846934697,0.5305737344513566,0.36217377468993356,0.36226140373073945,0.3635951005925145,0.3638810327306498,0.3612881268807357,0.3549224873397348,0.34449570356999326,0.3300044845170428,0.3116924633682216,0.29000886925187686,0.2656874580692491,0.23996300276082938,0.21452973135001802,0.19134161731189828,0.172272860537563,0.15870995484364608,0.15124048050932287,0.14954118813816475,0.15249997173057922,0.1584608236017894,0.1655153103977808,0.17203058294883977,0.17795040403262422,0.1860260016720685,0.19901610915485957,0.21565566321863516,0.23279675354906917,0.2485160851405288,0.2622493216795907,0.27403475258097404,0.28408017049527634,0.2926093651561021,0.29981888458227546,0.30585528643997933,0.3108075195644038,0.3147278530826382,0.31763326838339306,0.31949990813067747,0.32024883108035096,0.3197146915929753,0.317578488727997,0.3131645133491403,0.3046653002113961,0.28068192930545877,0.2834249620352645,0.28603643638247384,0.2866569566953156,0.28641556191388984,0.28582688966752984,0.28510576185975206,0.28417199813598193,0.2829967347359768,0.28159603578857345,0.27998865424421693,0.27818853805621363,0.27620812198548256,0.27406860287872054,0.27179122865470445,0.2693949632571734,0.2668970365627371,0.2643133578789465,0.26165881446898925,0.2589474768940889,0.2561927209411904,0.2534038866564777,0.25058158331955327,0.24772513284271977,0.24483393022070632,0.24190751920326659,0.23894566226720507,0.23594840698337663,0.2329161502501983,0.22984970146678968,0.22675043445020218,0.223623089828457,0.22047617300903743,0.21731863456388925,0.2141596491544665,0.21100861072665644,0.2078751510758169,0.20476919463509902,0.2017010690974841,0.19868170377645178,0.19572297100322192,0.19283817458730668,0.19004211732142934,0.18735360695855366,0.18480021451298811,0.1824273818261897,0.1803220487509209,0.17867106574887498,0.17728045675406115,0.17476590429515548,0.17168605903589246,0.16840276750057004,0.16502420276199345,0.16159933772093407,0.15815737050257198,0.154718739505214,0.15129902132750309
