period_nm,pillar_nm,height_nm,R_400,R_403,R_407,R_410,R_414,R_417,R_421,R_424,R_428,R_431,R_435,R_438,R_442,R_445,R_449,R_453,R_456,R_460,R_463,R_467,R_470,R_474,R_477,R_481,R_484,R_488,R_491,R_495,R_498,R_502,R_506,R_509,R_513,R_516,R_520,R_523,R_527,R_530,R_534,R_537,R_541,R_544,R_548,R_552,R_555,R_559,R_562,R_566,R_569,R_573,R_576,R_580,R_583,R_587,R_590,R_594,R_597,R_601,R_605,R_608,R_612,R_615,R_619,R_622,R_626,R_629,R_633,R_636,R_640,R_643,R_647,R_651,R_654,R_658,R_661,R_665,R_668,R_672,R_675,R_679,R_682,R_686,R_689,R_693,R_696,R_700,R_704,R_707,R_711,R_714,R_718,R_721,R_725,R_728,R_732,R_735,R_739,R_742,R_746,R_750
723.8329677689542,415.33070902988084,211.23940726977438,0.0,-9.56360611528591e-30,-9.978647193240867e-30,-2.6942347421764025e-29,-2.0194839173657902e-28,0.0,2.3779204568117466e-27,-9.245923077440452e-29,0.0,0.0,1.2243535186275566e-27,2.166817635926695e-28,0.0,0.0,0.0,-3.877631654005431e-28,0.0,5.616300544163294e-28,9.53711413159768e-28,1.6665113495586566e-30,3.04437046006319e-29,6.552792167918364e-29,1.6017936410468e-28,-9.775541984890939e-30,1.54050885208995e-29,-1.4747135269504014e-29,-3.3784343745061462e-28,0.0,0.0,-3.232022011263976e-30,-1.4847101114241848e-29,0.0,0.0,-3.4918421413897824e-28,-2.017969165758789e-27,3.358065902455757e-31,0.0,0.0,-4.683824111686744e-29,8.276054313806814e-30,5.048709793414476e-29,-6.097516389726553e-29,-9.402005014733218e-29,0.0,0.0,0.0,0.0,5.015401643076378e-30,-1.9171089578594113e-29,-2.6151586544585933e-27,-6.596857167470798e-28,0.0,4.643548017719662e-30,1.967512716428209e-30,0.0,0.0,0.0,1.219148671705146e-30,2.202818792993122e-30,-2.2189906226481568e-27,-1.228888946236788e-26,-1.0880787544803422e-27,6.090569142959771e-31,3.006736665511698e-31,0.0,0.0,0.0,0.0,1.8041040898938633e-29,-8.982769372698484e-29,-1.43326047141572e-28,4.182835863705663e-31,5.2528636427939e-30,3.518363100696403e-30,1.0407072242125461e-30,0.0,0.0,0.0,0.0,0.0,4.2842504888037094e-30,3.939647732095513e-30,4.220780111190367e-31,4.725438602747226e-30,-7.075843271073606e-30,-2.524354896707238e-29,-2.524354896707238e-29,-2.524354896707238e-29,-2.524354896707238e-29,-2.524354896707238e-29,-2.524354896707238e-29,-2.524354896707238e-29,-2.524354896707238e-29,-2.524354896707238e-29,-2.524354896707238e-29,-2.524354896707238e-29,-2.524354896707238e-29,-2.524354896707238e-29,-2.524354896707238e-29,-2.524354896707238e-29
670.2205503603284,274.08408884545395,378.02949665458056,0.0,-8.076326016533832e-25,0.0,0.0,1.4558581335108922e-27,0.0,-3.2675424630070257e-26,0.0,-1.3281766624228712e-25,1.0123074423842731e-25,0.0,0.0,-1.1469969262268173e-26,-6.281779174678528e-28,0.0,8.26041245317887e-27,2.0679515313825692e-25,-8.542541482780592e-26,-1.821970283700397e-26,1.7890004801475267e-25,2.4939482808837653e-25,1.0484467468669382e-27,3.3758699504840073e-26,-5.042367612517116e-26,-4.655171375567561e-28,-6.648207815767066e-25,6.7568687490122925e-28,0.0,0.0,2.248809125056758e-26,-2.3755361782786957e-28,0.0,3.84129524916385e-25,8.299408653184862e-27,3.229224457785027e-26,0.0,3.916574870042709e-26,-9.18258780894629e-26,1.9927623364757188e-27,2.0426829474908755e-26,1.386205233356568e-25,2.1955680088039483e-25,-1.2034566418858519e-26,0.0,2.1929710879484998e-27,-1.801274746034851e-26,-5.968114087684269e-27,3.209857051568882e-28,7.772748017252177e-29,-5.220616275636451e-27,-8.360700506671607e-26,-2.360117843766253e-26,9.509986340289867e-27,4.029466043244972e-27,5.083281832141293e-28,3.5610524488037793e-28,-1.9310889984237384e-28,-4.019690942792913e-26,-7.401817858293569e-26,0.0,0.0,0.0,-1.2473485604781611e-27,3.38345019008655e-27,3.513048974341214e-27,4.602717247843721e-28,1.1085305658960662e-27,-2.817316498441342e-27,-5.540427502849409e-27,-3.1892109656062346e-27,0.0,2.6770149527716245e-29,3.361832731388096e-28,1.2217284279628463e-25,1.3640757729198684e-25,-5.41072275066237e-28,-5.2839851006443995e-27,-2.9490876253595562e-27,0.0,0.0,0.0,1.2140746289523617e-27,3.0150703260923174e-27,8.117497031786847e-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
737.3756671858212,489.74430853821616,293.1595360241994,5.048709793414476e-29,-9.56360611528591e-30,6.236654495775542e-31,1.6838967138602516e-30,0.0,-9.788374039491391e-30,-2.3221879461052213e-30,0.0,0.0,1.2357268583792396e-29,0.0,-3.6853350370174907e-31,4.735442086174754e-31,6.134549975272e-31,3.6527853576916426e-27,0.0,0.0,0.0,0.0,0.0,0.0,-2.11480538621234e-29,-1.9040423388162347e-30,1.9765503462814238e-32,3.1286411842512073e-30,2.5067522153510874e-30,-4.128334126408963e-30,-9.36388139444273e-30,1.1035566959568187e-30,-6.312542990749954e-33,1.3344625333672342e-31,3.439135943131672e-29,3.5962867871251025e-30,2.0262228157189604e-30,1.5949747148259204e-28,1.7193297420573476e-28,1.9123900732630415e-29,1.8862660450099784e-30,-5.824372999464452e-30,-3.3622052749090773e-31,-1.0499518226908337e-30,-6.966391364463142e-31,-7.3453164177603265e-31,-6.048657996873939e-32,-3.1683446650291887e-32,0.0,1.516821293227985e-31,1.6053333650340321e-28,3.8863740086260883e-29,0.0,-3.139024110154034e-31,-9.003135085167897e-32,1.8574192070878647e-29,3.5266763403729505e-30,-1.346744827567612e-30,6.679491890933935e-31,-2.573094282602346e-32,0.0,0.0,0.0,0.0,0.0,4.872455314367817e-30,2.4053893324093584e-30,-1.125068497173048e-32,-1.762871412823883e-32,0.0,0.0,2.8189126404591614e-31,1.946539895999899e-31,1.4312095848390387e-32,-6.249482238527608e-33,-6.483421459822516e-31,-3.5252900817855993e-31,-3.2522100756642066e-32,5.283908936193721e-31,5.1601416998480464e-30,2.8799683841401916e-30,-3.321432456247423e-30,-1.2319324336307462e-29,-1.262177448353619e-29,-7.888558118525685e-30,-2.300316105722288e-32,-6.193158746175268e-33,-4.183353285263032e-32,-9.860761315262648e-32,-9.860761315262648e-32,-9.860761315262648e-32,-9.860761315262648e-32,-9.860761315262648e-32,-9.860761315262648e-32,-9.860761315262648e-32,-9.860761315262648e-32,-9.860761315262648e-32,-9.860761315262648e-32,-9.860761315262648e-32,-9.860761315262648e-32,-9.860761315262648e-32,-9.860761315262648e-32,-9.860761315262648e-32
737.3756671858212,489.74430853821616,293.1595360241994,5.048709793414476e-29,-9.56360611528591e-30,6.236654495775542e-31,1.6838967138602516e-30,0.0,-9.788374039491391e-30,-2.3221879461052213e-30,0.0,0.0,1.2357268583792396e-29,0.0,-3.6853350370174907e-31,4.735442086174754e-31,6.134549975272e-31,3.6527853576916426e-27,0.0,0.0,0.0,0.0,0.0,0.0,-2.11480538621234e-29,-1.9040423388162347e-30,1.9765503462814238e-32,3.1286411842512073e-30,2.5067522153510874e-30,-4.128334126408963e-30,-9.36388139444273e-30,1.1035566959568187e-30,-6.312542990749954e-33,1.3344625333672342e-31,3.439135943131672e-29,3.5962867871251025e-30,2.0262228157189604e-30,1.5949747148259204e-28,1.7193297420573476e-28,1.9123900732630415e-29,1.8862660450099784e-30,-5.824372999464452e-30,-3.3622052749090773e-31,-1.0499518226908337e-30,-6.966391364463142e-31,-7.3453164177603265e-31,-6.048657996873939e-32,-3.1683446650291887e-32,0.0,1.516821293227985e-31,1.6053333650340321e-28,3.8863740086260883e-29,0.0,-3.139024110154034e-31,-9.003135085167897e-32,1.8574192070878647e-29,3.5266763403729505e-30,-1.346744827567612e-30,6.679491890933935e-31,-2.573094282602346e-32,0.0,0.0,0.0,0.0,0.0,4.872455314367817e-30,2.4053893324093584e-30,-1.125068497173048e-32,-1.762871412823883e-32,0.0,0.0,2.8189126404591614e-31,1.946539895999899e-31,1.4312095848390387e-32,-6.249482238527608e-33,-6.483421459822516e-31,-3.5252900817855993e-31,-3.2522100756642066e-32,5.283908936193721e-31,5.1601416998480464e-30,2.8799683841401916e-30,-3.321432456247423e-30,-1.2319324336307462e-29,-1.262177448353619e-29,-7.888558118525685e-30,-2.300316105722288e-32,-6.193158746175268e-33,-4.183353285263032e-32,-9.860761315262648e-32,-9.860761315262648e-32,-9.860761315262648e-32,-9.860761315262648e-32,-9.860761315262648e-32,-9.860761315262648e-32,-9.860761315262648e-32,-9.860761315262648e-32,-9.860761315262648e-32,-9.860761315262648e-32,-9.860761315262648e-32,-9.860761315262648e-32,-9.860761315262648e-32,-9.860761315262648e-32,-9.860761315262648e-32
711.5788846494983,462.59239246276917,346.82848398124895,-6.310887241768095e-30,1.5403639740541881e-30,-7.791161325713625e-31,1.2200800305071126e-29,0.0,-1.1067970484549992e-32,8.557945577852051e-30,-5.778701923400283e-30,-3.75714797486044e-29,-2.4747600405052767e-29,-1.5342625390585188e-28,-1.0760381478893125e-28,-5.3637988245331436e-30,-6.354971558392118e-31,-2.785145709674163e-29,0.0,-3.1216387458516886e-29,4.1720198128421105e-29,1.535577824655419e-31,0.0,-8.816311408457201e-30,0.0,0.0,-7.906201385125695e-32,-1.8184263185810785e-30,0.0,3.214636646961372e-30,-6.2699074544843285e-30,0.0,6.464044022527953e-30,2.9694202228483697e-29,-2.74116970662954e-28,-2.7304956448656445e-29,-2.4906604049413868e-30,3.15353950955569e-29,0.0,0.0,-1.1680067250490488e-29,-2.912186499732226e-30,0.0,4.222159902009519e-30,7.74530052841199e-30,-2.6382290328879314e-30,-2.4397461237687734e-30,0.0,-2.3051130347367373e-30,-5.582357690048823e-30,-1.2954855986917162e-30,0.0,3.1864113010476387e-31,8.052804159510251e-32,-3.0439910175882694e-31,-1.0420870150302704e-31,0.0,-6.205178017750601e-32,-4.346987852543676e-32,-1.5086632800185457e-30,-1.7839013652157577e-30,2.823569434468677e-31,0.0,0.0,0.0,1.5591857005977014e-28,7.59960841597598e-29,-8.576779722512729e-31,0.0,0.0,0.0,-7.047281601147903e-32,-4.8663497399997476e-32,-1.144967667871231e-31,2.9779809625021856e-30,4.1956782667415317e-29,2.0700173762713375e-29,-2.685072931147387e-31,-8.549097669234334e-31,-1.4338786177020176e-30,-7.199920960350479e-31,1.2974345532216497e-32,4.8122360688701024e-32,-1.763760731124472e-32,1.1742397144754017e-31,3.680505769155661e-31,9.909053993880429e-32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
711.5788846494983,462.59239246276917,346.82848398124895,-6.310887241768095e-30,1.5403639740541881e-30,-7.791161325713625e-31,1.2200800305071126e-29,0.0,-1.1067970484549992e-32,8.557945577852051e-30,-5.778701923400283e-30,-3.75714797486044e-29,-2.4747600405052767e-29,-1.5342625390585188e-28,-1.0760381478893125e-28,-5.3637988245331436e-30,-6.354971558392118e-31,-2.785145709674163e-29,0.0,-3.1216387458516886e-29,4.1720198128421105e-29,1.535577824655419e-31,0.0,-8.816311408457201e-30,0.0,0.0,-7.906201385125695e-32,-1.8184263185810785e-30,0.0,3.214636646961372e-30,-6.2699074544843285e-30,0.0,6.464044022527953e-30,2.9694202228483697e-29,-2.74116970662954e-28,-2.7304956448656445e-29,-2.4906604049413868e-30,3.15353950955569e-29,0.0,0.0,-1.1680067250490488e-29,-2.912186499732226e-30,0.0,4.222159902009519e-30,7.74530052841199e-30,-2.6382290328879314e-30,-2.4397461237687734e-30,0.0,-2.3051130347367373e-30,-5.582357690048823e-30,-1.2954855986917162e-30,0.0,3.1864113010476387e-31,8.052804159510251e-32,-3.0439910175882694e-31,-1.0420870150302704e-31,0.0,-6.205178017750601e-32,-4.346987852543676e-32,-1.5086632800185457e-30,-1.7839013652157577e-30,2.823569434468677e-31,0.0,0.0,0.0,1.5591857005977014e-28,7.59960841597598e-29,-8.576779722512729e-31,0.0,0.0,0.0,-7.047281601147903e-32,-4.8663497399997476e-32,-1.144967667871231e-31,2.9779809625021856e-30,4.1956782667415317e-29,2.0700173762713375e-29,-2.685072931147387e-31,-8.549097669234334e-31,-1.4338786177020176e-30,-7.199920960350479e-31,1.2974345532216497e-32,4.8122360688701024e-32,-1.763760731124472e-32,1.1742397144754017e-31,3.680505769155661e-31,9.909053993880429e-32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
615.068375662024,422.4342239758167,233.02425964819935,0.0,-1.8678918193917794e-32,0.0,0.0,-1.4000047531286823e-30,0.0,4.9858741195785914e-31,2.4710759990223526e-31,0.0,-5.166130854370958e-34,-6.037986177268507e-31,0.0,1.0727828871824402e-29,2.0158824692986698e-32,0.0,0.0,-1.2193901350983158e-31,-8.569794531499167e-33,4.433617156660518e-30,0.0,0.0,8.190990209897955e-30,1.907039934367688e-29,4.240787078047272e-31,-9.786925259133212e-30,1.1735120904100699e-31,5.2626774049845686e-30,-8.429670306196415e-31,-9.268054922156141e-31,1.077180727872435e-31,4.639719098200578e-31,0.0,4.579180776076138e-32,5.297775833908614e-30,0.0,0.0,-2.9881094894735024e-31,-2.942835103267815e-32,-3.8008925179972053e-33,-3.879691509222237e-32,0.0,0.0,0.0,0.0,0.0,0.0,3.7920532330699626e-32,1.0120981239779033e-32,6.370494205090552e-31,1.5157864501148406e-31,0.0,0.0,0.0,-4.343374525339885e-30,-2.3376341922771622e-30,1.3584337039198987e-33,0.0,-1.5239358396314326e-31,-2.823569434468677e-31,-2.1160385742559813e-33,-1.0506891484090353e-32,2.153888500103101e-32,-3.244718242709123e-32,-1.8792104159448113e-32,0.0,4.4948410623473836e-31,1.4126643338806414e-30,1.3471932595830785e-31,1.1011377501793599e-33,7.603671468749606e-34,0.0,-3.3462686909645306e-30,-4.20229091423512e-29,-2.0816528935258028e-29,-1.3008840302656826e-31,0.0,0.0,-5.360810715043598e-32,-1.2455630421705947e-31,-1.9485233453002854e-31,-6.333239853013703e-32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
615.068375662024,422.4342239758167,233.02425964819935,0.0,-1.8678918193917794e-32,0.0,0.0,-1.4000047531286823e-30,0.0,4.9858741195785914e-31,2.4710759990223526e-31,0.0,-5.166130854370958e-34,-6.037986177268507e-31,0.0,1.0727828871824402e-29,2.0158824692986698e-32,0.0,0.0,-1.2193901350983158e-31,-8.569794531499167e-33,4.433617156660518e-30,0.0,0.0,8.190990209897955e-30,1.907039934367688e-29,4.240787078047272e-31,-9.786925259133212e-30,1.1735120904100699e-31,5.2626774049845686e-30,-8.429670306196415e-31,-9.268054922156141e-31,1.077180727872435e-31,4.639719098200578e-31,0.0,4.579180776076138e-32,5.297775833908614e-30,0.0,0.0,-2.9881094894735024e-31,-2.942835103267815e-32,-3.8008925179972053e-33,-3.879691509222237e-32,0.0,0.0,0.0,0.0,0.0,0.0,3.7920532330699626e-32,1.0120981239779033e-32,6.370494205090552e-31,1.5157864501148406e-31,0.0,0.0,0.0,-4.343374525339885e-30,-2.3376341922771622e-30,1.3584337039198987e-33,0.0,-1.5239358396314326e-31,-2.823569434468677e-31,-2.1160385742559813e-33,-1.0506891484090353e-32,2.153888500103101e-32,-3.244718242709123e-32,-1.8792104159448113e-32,0.0,4.4948410623473836e-31,1.4126643338806414e-30,1.3471932595830785e-31,1.1011377501793599e-33,7.603671468749606e-34,0.0,-3.3462686909645306e-30,-4.20229091423512e-29,-2.0816528935258028e-29,-1.3008840302656826e-31,0.0,0.0,-5.360810715043598e-32,-1.2455630421705947e-31,-1.9485233453002854e-31,-6.333239853013703e-32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
756.0995762618809,218.12354774818866,168.17161653543306,0.0,1.5669012259284436e-25,4.084812389135745e-25,-3.1983665951725653e-24,-9.31749205446971e-26,-4.10554163873349e-23,0.0,-1.8935650462598046e-25,-1.9750768250616618e-23,-3.239383815629674e-24,6.26869001537309e-25,1.7629809015018496e-24,-1.7576095988230205e-25,0.0,-1.941879642578918e-24,0.0,3.196558075752129e-26,3.594432348264508e-26,-1.105023451126029e-24,-1.6270571031548863e-25,0.0,0.0,-2.495666374333215e-25,2.5907040698779878e-27,-1.1565933824018996e-25,-4.1359030627651384e-25,0.0,-2.6641661287420334e-23,-9.257304528156937e-24,-3.309590539534312e-27,-3.5587423478253446e-25,-2.657890566352979e-25,0.0,0.0,0.0,3.800495051037463e-24,1.6042290667695538e-24,2.4494876394500628e-23,9.963811682378594e-28,1.0170378509935542e-26,0.0,4.5654942446145645e-26,9.322872399745442e-25,6.395648078692413e-25,0.0,0.0,0.0,0.0,3.3399736657985155e-25,-1.2570069019271505e-24,9.788430511570457e-25,2.180260587396688e-25,2.4968419119565674e-25,1.2783100950535212e-25,-5.989307674643737e-28,9.250576835910413e-25,8.386692321718682e-25,-1.1749724610130003e-26,3.7009089291467843e-26,0.0,2.5432304350927077e-27,4.734647326664286e-26,-3.0753759713314618e-25,-1.5763959528877971e-25,-1.8875517191867616e-25,-2.9576074473171456e-25,0.0,0.0,0.0,-2.0948080447771482e-25,-2.785244243296177e-25,4.827220914501655e-26,8.667329322796602e-27,0.0,0.0,8.657156401059792e-27,8.454376161031039e-26,4.71854020057529e-26,0.0,0.0,0.0,-3.108031050118046e-25,-7.64942677345459e-25,-1.303863379463327e-25,5.953193802464877e-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
721.7823523184564,313.352351304462,266.3754361047504,0.0,-3.2311742677852644e-27,1.0212030972839362e-25,0.0,0.0,4.5156582313335325e-25,-2.3779204568117466e-27,1.8941124920646154e-25,-6.862907329097803e-27,-3.8696840588955527e-28,1.9687464701857175e-26,4.30415259155725e-28,-2.424546348121474e-28,-2.917085309051338e-27,9.131963394229107e-28,1.6133618072614982e-29,1.5416568380502296e-28,2.6783196829691903e-27,-1.8204801096173347e-26,1.8533791795737553e-27,-9.741985472202208e-28,-3.3017787158407647e-28,2.0022420513085e-29,1.3084266567688834e-27,-1.4018286158231301e-26,-2.0294978872040132e-26,0.0,1.6260779594372763e-27,5.650210283298912e-28,0.0,-2.6614906503246156e-27,-2.0764770049632648e-27,4.8016190614548125e-26,1.3400281162504823e-26,-2.744060865117178e-26,5.5018551745835124e-27,0.0,-7.475243040313912e-28,0.0,0.0,0.0,0.0,0.0,0.0,-1.7543768703587998e-26,-4.605472414148342e-27,5.716334274609995e-27,-1.2413083881947887e-27,-6.218198413801741e-28,0.0,0.0,0.0,0.0,-1.4232369644633736e-25,-7.666313823543983e-26,3.613506576527505e-27,3.372606138092547e-27,0.0,0.0,2.7735340800487998e-28,1.546045676683066e-27,3.209570055078663e-28,4.6029821676808883e-29,0.0,0.0,-4.602717247843721e-28,-1.4465682778937768e-27,-1.3795258978130723e-28,1.1546266175320725e-27,7.973027414015586e-28,1.4655586148751756e-29,4.7140829243180224e-29,8.464188791793557e-30,-1.9063631469716084e-27,-2.1313683951872944e-27,0.0,0.0,0.0,5.314291929995877e-29,1.971091893809194e-28,-7.224363954685838e-29,-1.28439966936729e-28,-5.8888092306490575e-30,-1.5854486390208686e-30,1.3708012045149903e-27,3.2311742677852644e-27,3.2311742677852644e-27,3.2311742677852644e-27,3.2311742677852644e-27,3.2311742677852644e-27,3.2311742677852644e-27,3.2311742677852644e-27,3.2311742677852644e-27,3.2311742677852644e-27,3.2311742677852644e-27,3.2311742677852644e-27,3.2311742677852644e-27,3.2311742677852644e-27,3.2311742677852644e-27,3.2311742677852644e-27
